"word" "frequency"
"1365" "limited" 17
"3052" "conducted," 17
"3053" "wasnt" 17
"21" "nai." 18
"92" "made" 18
"99" "memo" 18
"177" "were" 18
"252" "pc" 18
"429" "fei." 18
"808" "instead" 18
"1028" "update" 18
"1218" "fy'23." 18
"1401" "pda" 18
"65" "21" 19
"254" "state." 19
"349" "firm's" 19
"363" "follow-up" 19
"521" "firms" 19
"538" "milk" 19
"618" "needs" 19
"694" "same" 19
"794" "hoc" 19
"854" "because" 19
"879" "within" 19
"888" "recreated" 19
"913" "19" 19
"1037" "reported" 19
"1687" "resources" 19
"1905" "conducting" 19
"2570" "meets" 19
"13" "classified" 20
"121" "generated" 20
"194" "out" 20
"477" "follow" 20
"484" "active" 20
"534" "al" 20
"964" "work." 20
"1055" "full" 20
"1967" "dfpg" 20
"2012" "dupe" 20
"345" "sample" 21
"623" "assign" 21
"791" "ad" 21
"1066" "placed" 21
"1398" "accomplish" 21
"124" "via" 22
"292" "ssil" 22
"364" "2021" 22
"461" "cso." 22
"468" "oda" 22
"657" "ky" 22
"685" "remove" 22
"784" "carried" 22
"1090" "security" 22
"1267" "facility" 22
"1399" "criteria" 22
"2749" "fy-23" 22
"209" "does" 23
"267" "location" 23
"321" "site" 23
"369" "they" 23
"379" "followed" 23
"446" "confirmed" 23
"886" "postponed" 23
"984" "routine" 23
"1088" "farm" 23
"1263" "cber" 23
"232" "had" 24
"316" "cdrh" 24
"701" "reissued" 24
"864" "into" 24
"932" "did" 24
"1059" "re-created" 24
"1349" "foreign" 24
"2172" "fy24." 24
"411" "canceled." 25
"1056" "master" 25
"1157" "outdated" 25
"1230" "war" 25
"1529" "cleanup" 25
"487" "fms" 26
"1094" "cbd" 26
"1917" "group" 26
"2130" "remaining" 26
"2238" "complete." 26
"2903" "fy’23." 26
"327" "replaced" 27
"449" "oob." 27
"562" "2022" 27
"648" "ldh" 27
"1359" "system" 27
"1438" "number" 27
"2607" "ldh." 27
"241" "conduct" 28
"423" "program" 28
"525" "firm." 28
"579" "so" 28
"898" "22." 28
"986" "fy24wp" 28
"2021" "merged" 28
"3928" "re-issue." 28
"31" "pai" 29
"120" "found" 29
"544" "ncda" 29
"3019" "new," 29
"243" "need" 30
"569" "coverage" 30
"653" "cvm" 30
"2237" "dwci" 30
"2721" "24." 30
"667" "number." 31
"1087" "egg" 31
"1162" "obligation" 32
"36" "covid-19" 33
"155" "should" 33
"214" "listed" 33
"272" "performed" 34
"1139" "plan." 34
"1555" "idph" 34
"62" "ei" 35
"442" "have" 35
"1007" "selected" 35
"1889" "china" 35
"355" "error." 36
"430" "created." 36
"642" "dshs." 36
"1205" "removed" 36
"2361" "excluded" 36
"141" "project" 37
"609" "only" 37
"625" "24" 37
"1127" "reassign" 37
"1237" "may" 37
"350" "food" 38
"577" "duplicate." 38
"1168" "fy21" 38
"1693" "create" 38
"996" "mdsap" 39
"1838" "year." 39
"545" "completed." 41
"664" "wrong" 41
"1482" "oqs" 41
"115" "see" 42
"585" "center" 42
"1527" "clean" 43
"70" "if" 44
"188" "it" 44
"910" "list." 44
"56" "fsvp" 45
"98" "facts" 45
"142" "updated" 45
"344" "2018" 45
"1389" "issue" 45
"2681" "employee." 45
"680" "assigned," 46
"785" "over" 46
"392" "704a4" 47
"458" "converted" 47
"735" "cder" 47
"1409" "canx" 47
"1455" "permits." 47
"847" "since" 48
"1548" "end" 48
"482" "requested" 50
"1234" "ogps" 50
"3077" "2016/2017" 50
"573" "id:" 51
"66" "22" 52
"133" "dated" 52
"1144" "reschedule" 52
"105" "already" 53
"342" "done" 53
"640" "coverage." 53
"708" "future" 53
"883" "used" 53
"1836" "–" 53
"367" "are" 54
"514" "opid" 54
"1407" "take" 54
"135" "fda" 55
"337" "request" 55
"635" "part" 55
"72" "returned" 56
"182" "12" 57
"699" "later" 57
"719" "issued" 58
"1894" "never" 59
"187" "changed" 60
"200" "operation" 60
"202" "13" 60
"536" "change" 60
"123" "op13" 61
"421" "needed" 62
"459" "op12" 62
"253" "contract." 63
"902" "list" 63
"1421" "fy23," 63
"567" "place" 64
"646" "incorrect" 65
"764" "during" 65
"7" "high" 66
"432" "needed." 70
"69" "email" 73
"952" "could" 73
"660" "fy'24" 74
"788" "workplan." 74
"3854" "prc." 74
"504" "error" 76
"385" "up" 77
"14" "comments:" 79
"491" "fdacs" 79
"101" "reasons:" 80
"175" "that" 80
"825" "tier" 80
"9" "or" 81
"100" "other" 85
"255" "at" 86
"2" "cannot" 88
"181" "scso" 89
"782" "trip" 89
"568" "rra" 90
"584" "year" 91
"34" "been" 92
"82" "fei" 92
"622" "23" 94
"880" "fy22." 96
"45" "being" 97
"6" "given" 98
"507" "dk" 99
"85" "another" 101
"1510" "travel" 101
"712" "next" 108
"1456" "plan" 108
"1684" "fiscal" 109
"961" "fy'23" 112
"436" "cover" 113
"111" "oob" 114
"304" "cancel" 115
"11" "workload" 118
"140" "oei" 124
"250" "cso" 128
"24" "return" 135
"492" "fsma" 140
"38" "has" 142
"678" "unable" 145
"722" "covid" 148
"8" "higher" 150
"786" "sap" 152
"17" "different" 161
"61" "conducted" 166
"629" "fy23." 166
"73" "with" 167
"4" "date" 172
"139" "current" 173
"502" "workplan" 177
"63" "enspect" 186
"19" "inspected" 187
"10" "priority" 195
"3" "complete" 204
"865" "moved" 208
"162" "from" 223
"119" "an" 229
"46" "canceled" 234
"76" "cancelled." 242
"71" "per" 245
"745" "longer" 254
"325" "new" 282
"305" "created" 288
"1530" "clean-up" 297
"57" "id" 298
"15" "contract" 303
"465" "fy22" 308
"93" "no" 329
"248" "old" 346
"54" "as" 354
"295" "cancelled" 362
"104" "work" 386
"639" "reassigned" 387
"48" "fy" 408
"88" "and" 410
"249" "assigned" 439
"103" "of" 455
"22" "on" 464
"50" "this" 464
"58" "op" 470
"16" "covered" 475
"25" "state" 489
"20" "inspection" 521
"27" "was" 541
"84" "is" 567
"32" "the" 617
"35" "completed" 637
"5" "due" 659
"466" "fy24" 702
"1" "by" 740
"55" "duplicate" 769
"33" "will" 810
"438" "fy23" 855
"26" "under" 949
"86" "for" 1011
"29" "be" 1055
"18" "firm" 1134
"40" "not" 1180
"49" "in" 1433
"28" "assignment" 1864
"43" "to" 2250
