"consignee","product","weightKG"
"QUIRCH FOODS CARIBBEAN","1 X 40- HC RFR CONTAINER 2,234 CS OF SHRIMP EZ PEEL ; NW - 33,510 LBS = 15,200.14 KGS GW - 42,810 LBS = 19,435.80 KGS ; FREIGHT IS PREPAID ; CONTAINER IS SET AT -18 DEGREES CELSIUS ; CONNECTING VESSEL AT SINGAPORE BY OOCL BRUSSELS V.007 ; SHIPPED ON BOARD BY PELICAN V.160DD. OCTOBER 03,2014 AT SURABAYA PORT, INDONESIA ; CARGO IS STOWED IN A REFRIGERATED CONTAINER SET AT THE SHIPPER-S REQUESTED CARRYING TEMPERATURE OF MINUS EIGHTEEN --18- DEGREES CELCIUS; FREIGHT PREPAID",19436
"WAL-MART STORES, INC.","HOPPER CULTIVATOR P.O.NO.:415 1988993 ITEM NO. : 722488 HT S CODE : 8201300080 DEPARTM ENT NO.: 00007 GLN:007874200 0008 PO TYPE:0043 WE HEREBY CERTIFY THAT THIS SHIPMENT I S CONSISTENT WITH THE LAST NE GOTIATED PURCHASE ORDER",340
"WAL-MART STORES, INC.","FCL/FCL HONEYWELL QUIETCARE COOL MOISTURE H P.O.NO.:4251865868 ITEM NO. : 1124492 HTS CODE : 8509805050 DEPARTMENT NO.: 00011 GLN:0078742000008 PO TYPE:0042 S/C :05-0242 FREIGHT COLLECT TOTAL:1X40- CONTAINER ONLY",9012
"UNITED CARGO MANAGEMENT,INC.","5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS 5.5'ME SUPER SAG HH BALLS",597900
"COSTCO WHOLESALE CORPORATION","TOY DOG,MY BEST FRIEND PUP MODEL NUMBER: 77698 PURCHASE ORDER NUMBER 2620802673 HTS CODE NO.: 9503.00.0080 A DIVISION OF HASBRO S.A. HARBOUR CITY,TSIMSHATSUI, ANY SOLID WOOD PACKING MATERIAL",2777
"HELLMANN WORLDWIDE LOGISTICS INC.","PLASTIC GOODS (PLASTIC PARTS 6' DRYER BO X 6' DESTINATION ALLOWED - ONLY MERCHANT HAULAGE A ONTAI NER AT ANY OTHER DEPOTS FREIGHT COLLECT",7182
"TRADER JOES COMPANY","ALIMENTARY PASTA TRG PENNE PASTA + TRG TAGLIATELLE PASTA + TRG TROTTOLE PASTA",14616
"GRAND SHRIMPIN TRADING INC.","FROZEN COOKED AND SEASONED WHOLE CRAWFISH",20000
"GL FOOD WHOLESALE, INCORPORATED","1X40'RF CONTAINER FROZEN FOODSTUFF BANANA LEAVES (BNL) TEMP. SETTING= -18 DEGREES CELSIUS",19950
"COSTCO WHOLESALE CANADA LTD.","NSF 6 TIER SHELF",18061
"SEAFRIGO USA INC.","MIX TWO/MORE FRUIT,PRSRV,UNEDBOF FRUIT PUREE",15093
"SOUTHERN W&S NEW YORK DIV.","SHIPPER PROVIDED HS CODE: 2204 21 20 CASE(S) WINES GROSS W EIGHT 162.00 KGM SHIPPER PROVIDED HS CODE: 2204 21 196 CASE(S) WINES GROSS WEIGHT 2856.00 KGM SHIPPER PROVIDED HS CODE: 2204 21 985 CASE(S) WINES GROSS WEIGHT 17119.00 KGM ALSO NOTIFY : N.A.S.A. 1600 ST . GEORGES AVE 07065 RAHWAY, NJ CUC PREPAID",20179
"COSTCO WHOLESALE CORPORATION","FOLDING CHAIRFOLDING CHAIRP.O.#:936-0223-389THIS SHIPMENT CONTAINS NOWOOD PACKING MATERIALTHE SAMETHE SAMETHE SAMETHE SAMETHE SAME",3888
"COSTCO WHOLESALE CANADA LTD","50PK FLOCKED HANGERS 50PK FLOCKED HANGERS PO# 76 1029 118 HS CODE 3924 90 0072 . DECLARE COSTCO . . SHIPMENT, INCLUDING ITS CONTAINER, DOES NOT CONTAIN ANY NON- MANUFACTURED WOODEN MATERIAL, DUNNAGE, BRACING MATERIAL, PALLETS, CRATING OR OTHER NON-MANUFACTURED WOODEN PACKING MATERIAL.",9992
"BRUNSWICK CORP DBA LIFE FITNESS","SPARE PARTS OF FITNESS",544
"COSTCO WHOLESALE CORPORATION","SAMSONITE GRAVTEC A/C COSTCO WHOLESALE CORPORATION 444 CARTONS HTS CODE 4202 12 2020 COSTCO PO NO. 175-1223-602 . ITEM NO. 957783 . DETAIL OF COMMODITY SAMSONITE GRAVTEC 27' SPINNER HARDSIDE QTY 444 PCS THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION' @CONTACT PERSON NORY YUE EMAIL ADD. NORY@SUMMITLG.COM TEL NO 86-0769-87717299-#8832 FAX NO.0769-87719872 AS AGENT FOR SI SHIPMENT",3228
"SEAFOOD EXPERT WEST INC.","CUTTLE FISH SQUID FROZ DRI SALTED OR IN FROZEN SQUID TUBES SHIPPER S DESIGNATED CARRYING TEMPERATURE IS -18 DEGREES CELSIUS AND DESIGNATED VENT OPENING IS 0 CMH.",26500
"GM NACG - ORION","AUTOMOTIVE GLASS (FCL/FCL) CY-DOOR THIS SHIPMENT CONTAINS NO REGULATED WOOD PACKMATERIALS S/C NO.:15-1022 FREIGHT COLLECT FAX:+8659185383666 TEL:248 377 5124",20675
"CARNIVAL CRUISE LINES","PAPERWORK TO BE OFFLOADED NOT RETURNING BACK ONBOARD VALUE$1. MADE IN USA CF 10.151",50
"WAL-MART STORES, INC.","THOMAS LOAD N GO P.O.NO.5506520045 ITEM NO. 752765 HTS CODE 9503900080& GLN0078742000008 PO TYPE0043 PURCHASE ORDER NUMBER 5506520045",1550
"PEGATRON CORPORATION C O RYDER","DESKTOPDESKTOPDESKTOP",26865
"WEGMANS FOOD MARKETS. INC.","CHEESE",8424
"WAL-MART STORES, INC.","830 CARTONS S/4 BLACK CERAMIC 1448214 VENDOR DECLARE HTS .:00014 250 CARTONS SET OF . 1478556 HTS: 6912004810",8604
"HELLMANN WORLDWIDE LOGISTICS","CAULIFLOWER SEEDS FOR SOWINGS.T.C. VEGETABLE SEEDS FOR SOWING NCM NR. 071CAULIFLOWER SEEDS FOR SOWING3.33.10CAULIFLOWER SEEDS FOR SOWINGS.T.C. VEGETABLE SEEDS FOR SOWING NCM NR. 071CAULIFLOWER SEEDS FOR SOWING3.33.10",39990
"WAL-MART STORES INC.","POLYESTER MAINSTAYS 72 CD ORGANIZER HTS CODE: 4202929026",5282
"HELLMANN WORLDWIDE LOGISTICS","AUTOMOTIVE SPARE PARTS 39 CARTONS STUFFED ON 7 PALLETS HS CODE 39211310, 94019080 HBL NUECLTE01916 AUTOMOTIVE SPARE PARTS STUFFED ON 12 PALLETS HS CODE 39269097, 40082900 INVOICE NO 2153869 HBL NUECHSE01959 . . SCAC CODE POLN ACLU4A47S6450401",2552
"MON CHONG LOONG TRADING CORP.","GOLD LABEL SOY SAUCE",19128
"SEOUL SHIK POOM, INC.","17TEA",16530
"TO THE ORDER OF BUMBLE BEE FOODS, L","6,400 CARTONS, 12/4 OZ CAN NED TINY SHRIMP IN BRINE ' BUMBLE BEE' BRAND PO # 450 0083910 SC # 15-581TPC FCE NUMBER 11802 FDA BIOTERRO RISM REGISTRATION NUMBER 1 5694696436 SID NUMBER 2005 -10-19/001 FREIGHT COLLECT /AMS COLLECT INTENDED CONN ECTING VESSEL: ADRIAN MAER SK 542W",19200
"NISSIN INTERNATIONAL TRANSPORT U.S.","14 PKG CY TO DR",2801
"HELLMANN WORLDWIDE LOGISTICS INC.","AUTO SPARE PARTSIRON PARTS FOR AUTOMOTIVEHS CODE:7326909590BL NR:BCNNYC901420AUTO SPARE PARTSIRON PARTS/AUTOMOTIVE SPARE PARTSHS CODE:7326909590BL BCNNYC901421AUTO SPARE PARTSIRON PARTS FOR AUTOMOTIVEHS CODE:7326909590BL NR BCNNYC901422",10958
"SURAM TRADING CORP.","FROZEN COOKED FARM-RAISED WHITE SHRIMP PEELED DEVEINED TAIL-ON IQF 'WALMART' BRAND NW : 31,040.00 LBS. ; DOOR TO DOOR-AMERICOLD LOGISTICS 1331 CIVIL WAR ROAD, CARTHAGE, MO 64836, USA. ; 'FREIGHT PREPAID' AND 'DDC CHARGE ARE PREPAID' ; PACKER NAME: ; OKEANOS CO., LTD. 30 EKACHAI ROAD, TAMBON NADEE, MUANG DISTRICT, SAMUTH SAKHON PROVINCE, THAILAND. ; USFDA REGISTRATION NO. 11039988934 ; 'GOODS ARE STORED IN REFRIGERATED CONTAINER SET AT MINUS 18 DEGREES CELSIUS' ; CONTRACT NO. EB07/0923 ; 'CARGO IS STOWED IN A REFRIGERATED CONTAINER SET AT THE SHIPPER-S REQUESTED CARRYING TEMPERATURE OF MINUS EIGHTEEN (-18) DEGREES CELCIUS'",17266
"COSTCO WHOLESALE CORPORATION","CAMPING GOODS(CANOPY) CAMPING GOODS(CANOPY) IF APPLICABLE CPSIA URL-WWW.COSTCOCPSIA.COM THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIALS THE SAME THE SAME THE SAME THE SAME THE SAME",15444
"SUMMIT IMPORT CORPORATION","RICE VERMICELLI 40RH SUB 40GP",17700
"CINDERELLA DIVINE, INC","100% POLYESTER WOMAN DRESS",588
"CARNIVAL CRUISE LINES","OF SARONGS AND DECORATIVE PILLOW COVERS MADE IN USA, VALUE $30.00, CF 10.151 TO OFFLOAD & NOT RETURN ONBOARD PIECES 12",3
"PEGASUS MARITIME INC.","1323 PACKAGE(S) 1323 PACKAGES IN 51 PA LLETS ONLYMETFORMIN HCL TABLETS USP 500MGMETFORMIN HCL TABLETS USP 1000MGHS CODE NO. 30049099 SCAC CODE : PGSM",11249
"MANDALAY TRADING CORPORATION","ASSORTED FOOD STUFF 716 CTNS SUPER Q GOLDEN BIHON 16OZ (30PKS X 454GMS) 300 CTNS SUPER Q GOLDEN BIHON 8OZ (60PKS X 227GMS) 68 CTNS CONCHING OTAP 250G 65 CTNS CONCHING ROSQUILLOS 210G ----- 1149 TOTAL PACKAGES HS CODE 1902.19.20 & 1905.31.10",16970
"NEW OCEAN TRADING (USA) INC","PND WHITE VANNAMEI SHRIMP IQF",22000
"PEGASUS MARITIME, INC.","100% COTTON GREIGE DUCK FABRIC",21434
"COSTCO WHOLESALE CORPORATION","GLASS MOSAIC A/C COSTCO WHOLESALE CORPORATION COSTCO PO NO. PO#2620930517 1638 CTNS (761.67 M2) HTS CODE 701610 ITEM NO.818511 DETAIL OF COMMODITY GLASS MOSAIC THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL. IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION' SHIPPER FOSHAN AUGA IMPORT AND EXPORT TRADING CO.,LTD 1/F NO.22 JIANGWAN ROAD 2, FOSHAN GUANGDONG CHINA CONTACT PERSON SANDY LIU EMAIL ADD. SANDY-LIUWL@163.COM TEL NO 0757-82274377 FAX NO.0757-82272179",15652
"NEPTUNE SHIPPING LIMITED D/B/A NOVA","FIBERGLASS DOOR N/A: SHANGHAI EASY-DEVELOPMENT TRADING COMPANY GROUP COMM: BUILDING MATERIALS SCAC CODE: NOVV HS CODE: 3925200000 AMS SEND BY SHIPPER FREIGHT COLLECT CY/DOOR ZIP CODE: 37055",8508
"WALONG MARKETING INC","SHAOHSING COOKING WINEASIAN TASTESHAOHSING COOKING WINE(750MLX12)ASIAN TASTESHAOHSING COOKING WINE(3LX4)LILY SHAO XING COOKING WINE(3LX4)LILY SHAO XING COOKINGWINE(750MLX12)@@FAX:714-6706668",17700
"RYDER CRSA LOGISTICS","2040 CTNWASHERFREIGHT COLLECTNVOCC TSNP0812000700HB/L MOLU1082158002040 CTNWASHERFREIGHT COLLECTNVOCC TSNP0812000700HB/L MOLU108215800",36347
"TO ORDER OF STERLING SEAFOOD CORP","1550 MASTER CARTONS OF HLSO BL ACK TIGER HEADLESS SHELL ON -S PRINT GOLD- 6 X 4 LB BRAND:S PRINT GOLD PACKING: 6 X 4 LBS PURCHASE ORDER NUMBER:18525 -07 SPRINT/SH/EXP/010/07-08 (ONE THOUSAND FIVE HUNDRED AND FIFTY MASTER CARTONS ONLY) N ET WT:16740.000 KGS GROSS WT: 21500.000 KGS SC NO.:SC#18391 5 SB NO:2204101 DT:17.07.2007",21329
"SEAFOOD DOCTOR,INC.","FROZEN POLLOCK FILLETS -18 THISSHIPMENT CONTAINS NO SOLID WOOD PACKINGMATERIAL",21756
"MBM CORPORATION","UCHIDA CARD CUTTERHS CODE:844190, 820750",1996
"CENSEA, INC.","FROZEN SLIPPER LOBSTER MEAT",18870
"CARNIVAL CRUISE LINES","DV CAM TAPETO BE OFFLOADED. NOT TO BE RETURNED ONBOARD.VALUE $10. MADE IN CHINA. CF 10.151",1
"NISSIN INTERNATIONAL TRANSPORT","AUTOMOBILE PARTS",13568
"NEPTUNE TRADING INC","SHIELD",8146
"SHERWOOD BRANDS, LLC.","416 CASEVALENTINE CANDY BOUQUETS93CASES 502.2KGS 4.1CBMVALENTINE CANDY BOUQUETS323CASES 2422.5KGS 20.3CBM1X20 HQ GLDU5003404/X568445S/C 8014992A09",2925
"SUPERVALU INTERNATIONAL","48 5 OZ. OF 1,400 CTNS CANNED CHUNK LIGHT TUNA IN WATER,(ESD) HARMONIZE CODE: 1604.14.3099 24 12 OZ. OF 400 CTNS CANNED CHUNK LIGHT TUNA IN WATER, (ESD) HARMONIZE CODE NO. 1604.14.3099 24 5 OZ OF 420 CTNS CANNED SOLID WHITE ALBACORE TUNA IN WATER, (ESD) HARMONIZE CODE 1604.14.3059 24 12 OZ. OF 100 CTNS CANNED SOLID WHITE ALBACORE TUNA IN WATER, (ESD) HARMONIZE CODE 1604.14.3059 PO.NO.X01618271 I.O.0705 13 FDA REGISTRATION NUMBER 10066668626 AS PER INVOICE NO. MMPI-905 13 SHIPPERS DESIRE TO STATE THAT SHIPPERS LOAD & COUNT ON BOARD VESSEL: NYK THEMIS V.27E31 AT LAEM CHABANG ON 18.AUG.2013",19020
"PEGASUS MARITIME INC","SLAC 635 PACKAGES100% COTTON HOMEMADE UP STABLE CLOTH (HS CODE 63049240)(TABLE CLOTH, BE)TABLE NAPKIN (HS CODE 63049220)(LINEN NAPKIN)1 1 TRAYLINER (HS CODE 63049290)13 TRAY LINER (HS CODE 63049290)FREIGHT COLLECTREQUIRES OBLEMAIL DELIVERY ORDER TOUAAIDELVRYORDER@UASC.NETVIA LANPORT FIRMS N423",11992
"COSTCO WHOLESALE CORPORATION","WOODEN FURNITURE WOODEN FURNITURE AS PER PO 80750722 ( WOODEN NIGHTSTAND ) CUSTOMER ITEM # 783592 PO# 1751002666 FOB HO CHI MINH, VIETNAM SHIPPER DECLARED THAT 'WE CERTIFIED THAT NO SOLID WOOD WAS USED IN PACKAGING' CALIFORNIA CARD 93120 P 2 COMPLIANT FOR FORMALDEHYDE . 'IF APPLICABLE CPSIA URL WWW.COSTCOCPSIA.COM' THE SAME",6834
"WAL-MART STORES, INC.","483 CARTONS TRADITIONAL SHAPE D PULP PILLOW P.O.NO.:3201982 082 ITEM NO. 2212869 HTS C ODE : 9404902000 CLASS NO.:0 023 GLN:0078742000008 DEPT N O:00022",3651
"COSTCO WHOLESALE CORPORATION","TOASTER OVEN COSTCO PO NO.288-0731-534 756 CTNS (756 UNITS) . HTS CODE 8516.60.4070 . ITEM NO. 871951 . DETAIL OF COMMODITY TOASTER OVEN,OST,6SL,3KNOB 756 SALE UNITS AND TOTAL SHIPPED 756 CARTONS THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL IF APPLICABLE CPSIA URL -WWW.COSTCOCPSIA.COM 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION' A/C COSTCO WHOLESALE CORPORATION @ GUANGDONG, CHINA CONTACT PERSON PEGGIE EMAIL ADD. PEGGIE@DONLIM.COM TEL NO 0757-25336503FAX NO. 0757-25336531 AS AGENT FOR SI SHIPMENT",5473
"COSTCO WHOLESALE CORPORATION","POLYESTER BLANKET POLYESTER BLANKET PO NO.1052-0227-381 IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM THE SAME THE SAME THE SAME",5342
"PEGASUS MARITIME INC","08(EIGHT) CRATES ONLY CONTAINI NG POLISHED MARBLE SLABS HS CODE 251512220",21545
"ACME FOOD SALES, INC.","TUNA,SKIP, IN OIL,AIRTIGHT2,380 CTN FRED MEYER BRANDCANNED CHUNK LIGHT SKIPJACKTUNA IN WATER 48 X 5 OZTHE U.S HARMONIZED CODE :1604.14.3099REGISTRATION NO. 10870361662.F.C.E NO. 08218PRODUCT OF THAILAND1X20FCL FCL CONTAINER'SHIPPERS DESIRE TO STATETHAT'TRANSHIPMENT AT SINGAPORE ATBY ZIM DJIBOUTI V.02E32LADEN ON BOARDAUGUST 01, 2009.BY KITI BHUM V.614SAT SONGKHLA, THAILAND.",21301
"HELLMANN WORLDWIDE LOGISTICS,INC","CONCENTRATOR ASSYCONCENTRATOR ASSY",22773
"AZUMA FOODS INTERNATIONAL INC","FROZEN COOKED WHITE SHRIMPTEMPURA.FROZEN BREADED IMITATIONSCALLOP.FROZEN BREADED SHIMA AJIFROZEN COOKED BATTEREDVEGETABLE.F.D.A.REGISTRATIONNO.11262128022N.W. 5,870.00 KGS.'SHIPPER REQUESTED TEMPERATURESET AT -18C'SHIPPERS DESIRE TO STATE THATSHIPPERS LOAD & COUNTTRANSHIPMENT AT HONG KONGVIA NYK ESPIRITO V.18104EON BOARD VSL.:OOCL KUALA LUMPUR V.17E11AT LAEM CHABANG ON 13.MAR.2009",8625
"ABS PUMPS INC.","CONTAINING PARTS FOR PUMPS H.S. CODES",350
"TO ORDER OF SEAFOOD CASTLE","FROZEN SQUID TUBE -TODARODES PACIFICUS- TEMP IS SETTING AS -18-C THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL. FREIGHT PREPAID",23000
"WAL-MART STORES INCORPORATED","BLENDER BLENDER",20839
"TO ORDER OF MING HONG INTERNATIONAL","FROZEN SEAFOOD 1400 CARTONS FROZEN FOODS (FROZEN SOFT SHELL CRAB) CONNECTING VESSEL EVER SUMMIT 0647-041E AT TAIPEI TEMPERATURE SET AT -21.0 DEGREES CELSIUS REEFER CONTAINER",19600
"TO ORDER OF WAL-MART STORES INC","1X40HC-PART ONE HUNDRED TWENT Y SIX CARTONS ONLY BOYS T WILL PANT GLN NO.: 0078742000 008 P.O.# 0551931335 ITEM# 2 687312/2687319 SUPPLIER STOC K NO:GIB7416 HTS. NO:6209.20. 30.00 CAT:239 INVOICE NO:PF L/WALMART/0143/2007 DT:01.08 .2007 L/C NO:108011344600-S DT:06.07.2007 EXP. NO:2965-00 206-07 DT:01.08.2007",499
"CJ AMERICA INC.","COOKED WHITE RICE BOWL PER CTN CIF U.S.A. COOKED WHITE RICE BOWL (210@12EA)/CT N/WT:11,088.00KGS",14392
"PREFERRED FREEZER SERVICES","------------ TRLU1667490 DESCRIPTION---------FROZEN LAMB MECHANICALLY DEBONED MEAT, UNDENATURED, SHRINKWRAPPED BLOCK COUNT: 1404 (54 BLOCKS/PIECE) IMPORT PERMIT NUMBER: 06-104 IMPORT SERIAL NBR: 096444 NETT WEIGHT 24157 ------------ CGMU4991512 DESCRIPTION---------FROZEN LAMB MECHANICALLY DEBONED MEAT, UNDENATURED, SHRINKWRAPPED BLOCK COUNT: 1404 (54 BLOCKS/PIECE) IMPORT PERMIT NUMBER: 06-104 IMPORT SERIAL NBR: 096443 NETT WEIGHT 24475 TOTAL NET WEIGHT: 48632 TOTAL GROSS WEIGHT 49672 FOR PETFOOD ONLY FDA REGISTRATION NBR: 17203734900 - COOL OFF PTY LTD, 2 JUDE RD, HOWLONG NSW 2643AUSTRALIA (EST 1230) HTS CODE: 051199 APHIS PERMIT NUMBER: C-126128 TOTAL PKGS 52 PIECES -------------GENERIC DESCRIPTION-------------SECOND NOTIFY PARTY TOM SCHNAPP 185 BUNKER PLACE DRIVE SANTA ROSA BEACH FLORIDA 32459 850-622-0087 EMAIL: GORDON AIRWAVESGLOBAL.COM ORIGIN/FREIGHT/DESTINATION CHARGES PAID BY SCALES LOGISTICS LTD, CHC NZ FREIGHT PREPAID REFRIGERATED CARGO CARGO IS STOWED IN A REFRIGERATED CONTAINER SAT THE SHIPPER'S REQUESTED CARRYING TEMPERATUOF -20 DEGREES CELSIUS -------------GENERIC DESCRIPTION-------------SECOND NOTIFY PARTY TOM SCHNAPP 185 BUNKER PLACE DRIVE SANTA ROSA BEACH FLORIDA 32459 850-622-0087 EMAIL: GORDON AIRWAVESGLOBAL.COM ORIGIN/FREIGHT/DESTINATION CHARGES PAID BY SCALES LOGISTICS LTD, CHC NZ FREIGHT PREPAID REFRIGERATED CARGO CARGO IS STOWED IN A REFRIGERATED CONTAINER SAT THE SHIPPER'S REQUESTED CARRYING TEMPERATUOF -20 DEGREES CELSIUS",49672
"CANADA COLORS CHEMICALS C/O PDI","DOK 414750 20070820 IDJKT 040300 PEB TOTAL 1 X 20-CONTAINER PO NO:T145959 20 BAGS OF PVC COMPOUND M-1848 GL 06 QUANTITY: 20 MTS PACKING:SUPERSACS-PALLETIZED (IN ISPM 15 WOODEN PALLET) PACKING IN CONTAINER 10 SW 2 MTS FREIGHT PREPAID NW:20,000.00 KGS INTENDED CONNECTING VESSEL:CSCL DALIAN V.SG27",22211
"SOUTHERN FISHERIES LLC","FROZEN RAW SHRIMP SLAC 950 CARTONS FROZEN RAW SHRIMP CARTONES DE CAMARON CRUDO CONGELADO SC CLAM 14-0154 TEMP. AT -10 DEG F.",20469
"ARCADIA TACKLE INC.","FISHING LURES",316
"HIGH LINER FOODS (USA) INC.","805CTNS FROZEN DEEP SKINNED TILAPIA FILLETSIQF IVP CUSTOMER PO#10080603 TEMP:-20CVENT:CLOSE USA FDA REGISTRATIONNUMBER:15022005984 COUNTRY OF ORIGIN:CHINAIT-S FARM RAISED THIS SHIPMENT CONTAINS NOSOLID WOODPACKING MATERIALS 2NDNOTIFY PARTY:AMBASSADOR BROKERS 40 PEARL STREETBRAINTREE,MA ATTN: MIKE OR JOE ELLIOTT TEL:#(781)-843-5167",15800
"BAY AREA PORT SERVICES, LLC","SHIPMENT MOVING UNDER SERVICE HOLDGOODS AIFD JQ799903 JOS 0263 KATRINA BARTLET 1/1 BOXE 1279 LBS/G 190 CFT ATVN JQ8 JQ814362 JOSE M. MALDONADO 8/ ERNATIONAL UNDER TERMS OF SER ORT WAYNE",5887
"NAWAL AHMED","PERSONAL EFFECT",5000
"CTC FOOD INTERNATIONAL INC.","SOY SAUCE HS CODE NO. 2103-10",17136
"NISSIN INTERNATIONAL TRANSPORT","MOTOR HOM CYL >1500CC <=3000CC1 CONTAINER = 2 UNITS=======================2 UNITSHONDA AUTOMOBILEHS CODE: 8703.23HOUSE B/L NO. : NSQPT101078451SEA WAYBILLFREIGHT PREPAID AS ARRANGED",6580
"COSTCO WHOLESALE CORPORATION","BEACH CHAIR NO SOLID WOOD PACKING MATERIAL THE SAME THE SAME",8770
"QUEEN APPAREL NY, INC","TROUSR,BREECH,M/B,WL/F ANML HRLADIES WOVEN PANTS76% POLY 22% RAYON 2% SPAN",13014
"ATLANTIC INTERNATIONAL PRODUCTS","OLIVES,BRUSCHETTA JARS",13013
"SUN LEE, INC.","RICE:LG GR PRBOILD SEMI/WHOLLY 5,100 BAGS THAI WHITE JASMINE RICE PACKING IN SINGLE P.P.WITH INNER P.E.(1006.300-111) PACKED IN 50 LBS. PER BAG. 500 BAGS PACKED IN 25 LBS. PER BAG. NET WEIGHT 121.44500 M-TONS. GROSS WEIGHT 122.04350 M-TONS. AS OUR EXPORT REFERENCE NO. 098907R/SLI/OAK",122044
"MAZZETTA COMPANY, LLC.","SEAMAZZ BRAND VANNAMEI SHRIMP RAW PD TAIL OFF IQF PACKED 10 X 2.0LBS-CTN PO744774E CUSTOMS ID NUMBER- A-552-802-003 THE FDA REGISTRATION NUMBER- 18796428032 COMMODITY HTSUS- 030617 LOAD- 2265-14 -N.W- 36,000.00 LBS- -GW- 39,600.00 LBS- ALL PREPAID FREIGHT CHARGES INCLUDING DDC AND THC CHARGES STANDARD CONTAINER TO BE SET AT MINUS 27 DEGREES CELSIUS; STANDARD TEMPERATURE CLAUSE -CARGO IS STOWED IN A REFRIGERATED CONTAINER SET AT THE SHIPPER-S REQUESTED CARRYING TEMPERATURE OF MINUS TWENTY SEVEN --27- DEGREES CELSIUS- ;",17978
"HELLMANN WORLDWIDE LOGISTICS, INC.","CHAIRFURNITURE FOR KIMBALLCHAIR@@ROAD, KWAI FONG, N.T. HONGKONG",5645
"COSTCO WHOLESALE CORPORATION","BOOKS A/C COSTCO WHOLESALE CORPORATION (36 PKGS = 36 BOX) COSTCO PO NO.2620521505 . ITEM NO.520522 DETAIL OF COMMODITY BOOKS . PONO. 5000213875 TITLE LEGO NINJAGO FIGHT THE POWER OF THE SNAKES BRICKMASTER(LEGO NINJAGP FIGHT THE POWER OF THE SNAKES! BOXSET) PONO. 5000213874 TITLE LEGO FRIENDS BRICKMASTER(LEGO FRIENDS BRICKMASTER BOX SET) PONO. 5000213872 TITLE LEGO STAR WARS BRICKMASTER BATTLE FOR THE STOLEN CRYSTALS(LEGO STAR WARS BRICKMASTER BOX SET) PONO. 5000213873 TITLE LEGO LEGENDS OF CHIMA BRICKMASTER THE QUEST FOR CHI(LEGO LEGENDS OF CHIMA BRICKMASTER BOX SET) THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL 'IF APPLICABLE CPSIA URL- WWW.COSTCOCPSIA.COM' @LEVEL 36,TOWER 1,ENTERPRISE SQUARE FIVE(MEGABOX)38 WANG CHIU ROAD,KOWLOON BAY,KOWLOON HONG KONG CONTACT PERSON YANYI EMAIL ADD. YANYI@LEO.COM.HK TEL NO 25352297 FAX NO.25352413",10040
"BEST FOOD SERVICES,INC.","FROZEN SHRIMPS",18375
"NTCT SEAFOOD, INC","FROZEN IQF VANNAMEI COOKED PEELED DEVEINED TAIL ON (WITH STPP)",18866
"NEPTUNE SHIPPING LIMITED","LADIES- WOVEN PANTS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL",18368
"COSTCO WHOLESALE CORPORATION","GLAZED PORCELAIN TILES GLAZED PORCELAIN TILES COSTCO PO NO. 171-0213-658 ITEM NO. 802832 HTS CODE 690890 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL IF APPLICABLE CPSIA URL-WWW.COSTCOCPSIA.COM",15456
